,Loan ID,Loan Grade,Term (months),Origination Date,Interest Rate,APR,Origination Fee,Loan Size,Outstanding Principal,Days Late,Delinquency Status,Charged Off Amount,Charged Off Date
31560,L30713,AA,36,2016-04-13,4.99,6.34,30.0,1500.0,901.98,0,Current,,
53744,L58928,B,36,2017-03-27,10.4,14.43,728.0,13000.0,11719.18,0,Current,,
45291,L47038,A,60,2016-11-22,9.57,12.07,672.0,12000.0,10706.11,0,Current,,
3956,L4059,A,36,2015-02-11,7.95,11.46,750.0,15000.0,3196.81,0,Current,,
31291,L50257,B,60,2016-12-27,13.06,14.48,314.7,10000.0,7718.66,0,Current,,
74863,L83931,A,36,2017-07-24,8.1,12.33,238.2,4000.0,4000.0,0,Current,,
48402,L51135,A,60,2017-01-09,10.82,13.35,996.8,17800.0,16411.63,0,Current,,
50808,L53381,C,36,2017-01-31,13.57,18.01,348.0,5800.0,4955.96,0,Current,,
64475,L85444,D,60,2017-08-01,16.28,18.98,1070.84,19000.0,19000.0,0,Current,,
61667,L67655,B,60,2017-05-18,12.87,15.47,1288.0,23000.0,22447.92,0,Current,,
69295,L79626,A,60,2017-07-10,10.51,13.43,2246.65,35000.0,35000.0,0,Current,,
54076,L57530,C,36,2017-03-13,14.16,18.6,960.0,16000.0,14481.59,0,Current,,
12351,L15429,B,36,2015-10-09,9.13,12.66,940.0,18800.0,8459.12,0,Current,,
58874,L62913,B,60,2017-04-24,11.88,14.45,392.0,7000.0,6171.63,0,Current,,
51019,L53722,B,36,2017-02-03,10.91,14.96,980.0,17500.0,14806.05,0,Current,,
21983,L20536,A,36,2015-12-07,6.04,9.52,750.0,15000.0,7419.76,0,Current,,
58772,L64782,C,60,2017-05-04,14.65,17.49,534.0,8900.0,8696.51,0,Current,,
31839,L39701,B,60,2016-09-06,15.69,17.15,1195.86,38000.0,0.0,0,Matured,,
68376,L78148,A,36,2017-07-05,7.85,11.81,112.0,2000.0,1942.66,0,Current,,
718,L6892,A,36,2015-05-08,6.63,10.12,600.0,12000.0,3555.61,0,Current,,
22283,L20786,A,36,2015-12-08,5.8,9.27,500.0,10000.0,4925.55,0,Current,,
41514,L42568,E,36,2016-10-04,25.27,29.99,84.0,1400.0,0.0,0,Matured,,
73573,L85975,D,60,2017-07-31,17.09,20.35,670.5,10000.0,10000.0,0,Current,,
56759,L60515,B,60,2017-04-10,11.35,13.9,1400.0,25000.0,24054.78,0,Current,,
14329,L12471,D,36,2015-09-02,23.36,28.02,516.0,8600.0,0.0,0,Charged Off,7364.6,2016-10-31
59615,L64083,B,36,2017-05-01,9.9,13.92,672.0,12000.0,11422.94,0,Current,,
40232,L45498,A,60,2016-11-04,9.64,12.14,616.0,11000.0,9618.24,0,Current,,
29066,L27988,C,36,2016-03-10,14.45,17.17,300.0,8000.0,4157.77,0,Current,,
50956,L53643,A,36,2017-02-02,8.14,12.11,392.0,7000.0,6115.65,0,Current,,
74049,L86405,D,60,2017-08-01,16.57,19.99,422.28,6000.0,6000.0,0,Current,,
11353,L9743,B,36,2015-07-14,10.02,13.58,1000.0,20000.0,0.0,0,Matured,,
24154,L42560,C,36,2016-10-04,13.96,18.37,198.0,3300.0,2484.1,0,Current,,
45790,L47660,A,36,2016-11-29,7.16,11.08,1400.0,25000.0,19758.19,0,Current,,
1283,L998,B,36,2014-09-05,11.58,15.17,400.0,8000.0,0.0,0,Matured,,
9759,L8025,A,36,2015-06-08,6.86,10.35,275.0,5500.0,1801.75,0,Current,,
8410,L6872,A,36,2015-05-08,7.09,10.59,550.0,11000.0,3295.64,0,Current,,
40930,L42195,B,36,2016-09-30,9.66,13.65,420.0,7500.0,5823.21,0,Current,,
4639,L3796,D,36,2015-01-30,19.49,24.04,480.0,8000.0,1142.29,0,Current,,
13036,L37931,A,60,2016-08-08,8.96,10.33,280.08,8900.0,7549.07,0,Current,,
35843,L35958,B,60,2016-07-14,11.3,13.85,392.0,7000.0,5895.35,0,Current,,
49113,L53755,A,36,2017-02-03,5.8,9.72,616.0,11000.0,9270.8,0,Current,,
23845,L22715,B,36,2016-01-05,10.37,13.94,250.0,5000.0,2684.49,0,Current,,
55222,L58574,A,36,2017-03-22,8.3,12.28,476.0,8500.0,7656.99,0,Current,,
24010,L23905,C,36,2016-01-21,13.45,17.09,1750.0,35000.0,19222.14,0,Current,,
17883,L16302,E,36,2015-10-21,21.24,25.85,450.0,7500.0,3704.8,0,Current,,
4849,L3846,A,36,2015-02-02,7.86,11.37,1250.0,25000.0,0.0,0,Matured,,
63980,L69919,B,36,2017-05-30,11.01,15.03,308.0,5500.0,5387.8,0,Current,,
58616,L62777,D,60,2017-04-21,15.49,18.38,1578.0,26300.0,25349.63,0,Current,,
73658,L85876,B,60,2017-07-31,11.02,14.32,366.44,5100.0,5100.0,0,Current,,
39058,L39615,B,36,2016-08-30,11.99,16.04,224.0,4000.0,3043.7,0,Current,,
18471,L17305,A,36,2015-11-02,6.55,10.04,900.0,18000.0,8470.57,0,Current,,
52098,L56031,C,36,2017-02-27,14.08,18.45,1422.0,23700.0,20952.59,0,Current,,
62372,L67387,A,36,2017-05-17,8.79,12.78,84.0,1500.0,1426.65,0,Current,,
6448,L30427,B,36,2016-04-11,11.66,14.52,404.0,10100.0,5469.13,0,Current,,
10455,L9324,A,36,2015-07-06,6.91,10.4,1540.0,30800.0,10985.67,0,Current,,
35565,L35849,C,36,2016-07-13,14.13,18.54,360.0,6000.0,0.0,261,Charged Off,5916.16,2017-03-14
35967,L37313,A,36,2016-08-01,8.09,12.05,336.0,6000.0,4317.12,0,Current,,
17348,L15395,A,36,2015-10-13,7.57,11.07,650.0,13000.0,0.0,0,Matured,,
37047,L37348,B,60,2016-07-29,16.45,19.13,392.0,7000.0,5768.99,0,Current,,
40102,L40778,C,36,2016-09-16,12.34,16.7,1746.0,29100.0,22046.83,0,Current,,
12511,L10837,B,36,2015-08-04,11.46,15.05,800.0,16000.0,0.0,0,Matured,,
60447,L76985,E,60,2017-06-29,22.73,26.01,254.68,4000.0,4000.0,0,Current,,
74641,L83438,B,36,2017-07-21,10.91,15.22,238.2,4000.0,4000.0,0,Current,,
418,L431,B,36,2014-07-07,11.66,15.25,1250.0,25000.0,0.0,0,Matured,,
64872,L71347,B,36,2017-06-06,8.88,13.53,181.72,2800.0,2731.55,0,Current,,
6592,L5401,AA,36,2015-03-26,6.16,8.22,750.0,25000.0,0.0,0,Matured,,
40410,L41458,B,36,2016-09-23,11.91,15.96,280.0,5000.0,3782.83,0,Current,,
45676,L47549,B,36,2016-11-29,10.47,14.47,168.0,3000.0,2488.76,0,Current,,
54491,L57649,C,36,2017-03-14,14.44,18.86,840.0,14000.0,12738.64,0,Current,,
31536,L30706,C,36,2016-04-13,14.34,17.99,1145.0,22900.0,0.0,0,Matured,,
63147,L68706,B,60,2017-05-24,12.36,14.95,576.8,10300.0,10197.98,8,In Grace,,
37756,L45066,D,36,2016-10-31,21.75,26.36,414.0,6900.0,5835.2,0,Current,,
28682,L27450,B,36,2016-03-03,9.87,11.98,207.0,6900.0,0.0,0,Matured,,
24029,L22853,A,60,2016-01-06,8.78,10.54,280.0,7000.0,5208.29,0,Current,,
8486,L7125,A,36,2015-05-18,8.68,12.21,500.0,10000.0,3045.6,0,Current,,
13768,L12129,D,36,2015-08-27,24.42,29.12,264.0,4400.0,2123.26,5,In Grace,,
61198,L66589,D,36,2017-05-15,15.65,19.44,2552.5,50000.0,47728.83,0,Current,,
22188,L20702,C,36,2015-12-08,13.42,17.81,1500.0,25000.0,0.0,0,Matured,,
5834,L76870,E,60,2017-06-28,22.39,24.08,556.38,16500.0,16313.81,0,Current,,
16643,L14073,C,36,2015-09-24,12.38,16.74,810.0,13500.0,0.0,0,Matured,,
21377,L19925,B,36,2015-12-01,10.37,13.94,1000.0,20000.0,0.0,0,Matured,,
26167,L27158,B,36,2016-02-29,10.16,12.99,568.0,14200.0,0.0,0,Matured,,
36665,L38408,B,36,2016-08-15,11.68,15.72,672.0,12000.0,8763.41,0,Current,,
1484,L4000,A,36,2015-02-09,6.78,10.27,1250.0,25000.0,0.0,0,Matured,,
51878,L55174,B,36,2017-02-16,11.72,15.78,532.0,9500.0,8364.12,0,Current,,
35408,L35300,D,36,2016-07-05,15.3,19.74,510.0,8500.0,6664.12,88,Delinquent,,
50243,L52662,A,60,2017-01-24,12.46,15.03,1120.0,20000.0,18500.07,0,Current,,
668,L4335,A,36,2015-02-23,7.01,10.51,250.0,5000.0,0.0,0,Matured,,
30686,L29728,A,36,2016-04-07,7.23,7.91,120.0,12000.0,6803.55,0,Current,,
44175,L46071,B,36,2016-11-14,12.77,16.84,280.0,5000.0,4044.93,0,Current,,
70922,L82118,C,36,2017-07-17,11.24,15.59,690.0,11500.0,11500.0,0,Current,,
12321,L10343,A,36,2015-07-27,7.9,11.41,190.0,3800.0,1368.27,0,Current,,
36017,L37614,B,60,2016-08-11,17.43,20.14,1344.0,24000.0,20964.2,0,Current,,
72206,L79998,A,36,2017-07-11,8.17,12.4,238.2,4000.0,3887.75,0,Current,,
8544,L7924,A,36,2015-06-04,6.74,9.69,291.0,6000.0,0.0,0,Matured,,
30908,L29671,B,36,2016-03-30,11.77,12.46,20.0,2000.0,0.0,0,Matured,,
12821,L15383,E,36,2015-10-09,25.24,29.96,240.0,4000.0,936.99,0,Current,,
20781,L20272,AA,36,2015-12-03,5.18,7.22,171.0,5700.0,0.0,0,Matured,,
6444,L5237,A,36,2015-03-23,7.08,10.58,200.0,4000.0,0.0,0,Matured,,
9581,L7908,B,36,2015-06-04,9.44,12.98,300.0,6000.0,0.0,484,Charged Off,4678.34,2016-08-03
65718,L72525,D,36,2017-06-12,15.63,19.64,573.67,10600.0,10286.24,0,Current,,
26644,L28375,C,36,2016-03-16,14.07,17.72,480.0,9600.0,5821.0,0,Current,,
60822,L66729,B,60,2017-05-15,12.56,15.15,728.0,13000.0,12667.08,0,Current,,
40442,L41222,A,36,2016-09-27,7.37,11.31,392.0,7000.0,5199.87,0,Current,,
49716,L52296,A,36,2017-01-20,7.43,11.41,229.6,4100.0,3473.68,0,Current,,
12363,L10399,A,36,2015-07-28,6.49,9.97,850.0,17000.0,0.0,277,Charged Off,11084.88,2017-02-26
55446,L58920,E,36,2017-03-27,25.06,29.83,138.0,2300.0,2121.11,0,Current,,
60367,L65757,A,60,2017-05-09,10.69,13.5,987.68,16000.0,15593.09,0,Current,,
26782,L25486,D,36,2016-02-09,21.27,25.08,450.0,9000.0,0.0,173,Charged Off,7434.0,2017-06-10
31259,L30403,E,36,2016-04-14,23.95,27.83,2500.0,50000.0,0.0,0,Matured,,
3083,L2460,D,36,2014-12-04,20.53,25.12,180.0,3000.0,0.0,0,Matured,,
65867,L72275,B,60,2017-06-15,13.07,15.67,1400.0,25000.0,24698.77,0,Current,,
21701,L20453,E,36,2015-12-07,25.19,29.91,618.0,10300.0,5872.07,0,Current,,
24852,L23787,A,36,2016-01-19,6.61,10.1,775.0,15500.0,8568.06,13,In Grace,,
58173,L61969,D,36,2017-04-21,14.88,19.32,120.0,2000.0,1864.91,0,Current,,
31288,L31623,E,36,2016-05-06,25.92,29.85,275.0,5500.0,0.0,299,Charged Off,5628.98,2017-02-04
33161,L33482,B,36,2016-06-07,10.38,14.4,672.0,12000.0,5032.77,0,Current,,
31037,L29951,B,60,2016-04-04,17.49,19.4,920.0,23000.0,18971.59,0,Current,,
57065,L62554,E,60,2017-04-20,18.3,21.25,480.0,8000.0,7881.19,42,Delinquent,,
26741,L31067,B,36,2016-04-19,9.9,12.73,400.0,10000.0,0.0,0,Matured,,
75056,L84233,B,36,2017-07-24,9.45,13.16,780.75,15000.0,15000.0,0,Current,,
52029,L78620,D,36,2017-07-06,15.15,19.61,360.0,6000.0,6000.0,0,Current,,
30949,L29838,C,36,2016-03-31,15.26,16.16,137.5,11000.0,6704.89,0,Current,,
36505,L36536,C,36,2016-07-22,14.85,19.28,300.0,5000.0,3572.17,0,Current,,
18628,L17021,E,36,2015-10-30,25.17,29.9,1170.0,19500.0,10466.18,0,Current,,
12447,L14353,C,36,2015-09-30,12.49,16.86,600.0,10000.0,4317.98,0,Current,,
6815,L5573,D,36,2015-04-01,14.89,19.32,900.0,15000.0,4397.41,0,Current,,
26011,L67760,A,36,2017-05-19,8.86,12.81,466.2,8400.0,7715.67,0,Current,,
39949,L41780,E,36,2016-09-27,25.26,29.98,270.0,4500.0,3680.96,0,Current,,
69790,L77200,C,36,2017-06-29,12.37,16.13,520.5,10000.0,10000.0,0,Current,,
21330,L19906,C,36,2015-12-01,12.18,16.54,510.0,8500.0,4109.55,0,Current,,
73385,L81847,B,60,2017-07-17,11.64,14.75,943.6,14000.0,14000.0,0,Current,,
11787,L20691,A,36,2015-12-08,6.85,10.35,650.0,13000.0,5873.17,0,Current,,
33658,L33369,C,36,2016-06-06,12.02,16.37,180.0,3000.0,2037.75,0,Current,,
47729,L49895,E,36,2016-12-21,25.04,29.76,594.0,9900.0,8498.09,0,Current,,
69160,L75896,C,60,2017-06-26,14.2,17.02,600.0,10000.0,9781.12,0,Current,,
9397,L7776,A,36,2015-06-01,7.72,11.23,500.0,10000.0,3303.9,0,Current,,
18606,L16880,D,36,2015-10-28,15.34,19.79,540.0,9000.0,4248.07,0,Current,,
14001,L11773,B,36,2015-08-21,10.55,14.12,150.0,3000.0,0.0,0,Matured,,
73374,L81460,D,36,2017-07-17,15.55,19.38,827.68,16000.0,16000.0,0,Current,,
63393,L69162,C,60,2017-05-25,13.91,16.73,1320.0,22000.0,21511.33,0,Current,,
51830,L54608,A,60,2017-02-13,11.35,13.89,1680.0,30000.0,28104.37,0,Current,,
29904,L30213,A,36,2016-04-06,7.34,10.12,256.0,6400.0,3880.21,0,Current,,
18495,L18180,B,36,2015-11-12,8.02,11.54,645.0,12900.0,0.0,0,Matured,,
72141,L81030,E,36,2017-07-14,21.7,25.62,1016.0,20000.0,20000.0,0,Current,,
16491,L22376,B,36,2015-12-31,9.15,11.96,120.0,3000.0,774.7,0,Current,,
23508,L22136,AA,36,2015-12-29,5.17,5.17,0.0,10500.0,5139.16,0,Current,,
34960,L34778,C,36,2016-06-27,11.8,16.15,900.0,15000.0,0.0,0,Matured,,
21457,L21104,B,36,2015-12-11,8.97,12.51,250.0,5000.0,0.0,537,Charged Off,5062.56,2016-06-11
11233,L9533,D,36,2015-07-09,20.69,25.28,282.0,4700.0,1327.95,0,Current,,
10400,L9536,B,36,2015-07-09,10.97,14.55,500.0,10000.0,3705.0,0,Current,,
65106,L71563,C,36,2017-06-12,13.05,17.44,300.0,5000.0,4684.57,0,Current,,
4949,L4887,D,36,2015-03-11,18.25,22.77,1500.0,25000.0,0.0,0,Matured,,
8545,L8442,A,36,2015-06-16,8.29,11.81,500.0,10000.0,3323.85,0,Current,,
22795,L22680,AA,60,2016-01-05,8.16,8.16,0.0,12000.0,8892.61,0,Current,,
67797,L74729,D,60,2017-06-20,16.93,19.83,360.0,6000.0,5934.58,0,Current,,
62214,L68734,B,60,2017-05-24,11.19,13.75,280.0,5000.0,4880.55,0,Current,,
49907,L53347,E,36,2017-01-31,25.01,29.78,204.0,3400.0,2981.89,0,Current,,
30775,L29778,A,36,2016-03-31,7.74,8.42,209.0,20900.0,11461.69,0,Current,,
65656,L71948,B,36,2017-06-09,10.79,14.82,560.0,10000.0,9762.25,0,Current,,
26880,L25419,B,36,2016-02-09,10.42,13.26,240.0,6000.0,0.0,0,Matured,,
70782,L81449,E,60,2017-07-17,26.56,29.78,264.0,4400.0,4400.0,0,Current,,
5194,L4244,B,36,2015-02-24,12.39,15.99,700.0,14000.0,3132.61,0,Current,,
33132,L32700,B,36,2016-05-24,9.08,13.07,588.0,10500.0,6750.58,0,Current,,
61834,L66771,A,36,2017-05-15,8.87,12.89,620.07,11000.0,10462.7,0,Current,,
18537,L17107,D,36,2015-10-30,13.72,18.13,786.0,13100.0,6517.84,0,Current,,
58462,L62422,B,36,2017-04-19,10.83,14.86,532.0,9500.0,8819.67,0,Current,,
30527,L29646,D,36,2016-03-31,17.5,18.41,256.25,20500.0,13226.03,0,Current,,
5603,L4775,B,36,2015-03-06,10.83,14.41,950.0,19000.0,0.0,0,Matured,,
25493,L24059,E,36,2016-01-21,26.03,29.96,340.0,6800.0,4232.73,5,In Grace,,
23963,L22528,A,36,2016-01-04,7.22,10.73,1400.0,28000.0,0.0,0,Matured,,
24950,L24210,A,36,2016-01-25,6.97,10.47,1000.0,20000.0,11071.47,0,Current,,
66744,L72815,C,36,2017-06-13,13.43,17.75,247.59,4200.0,4103.96,0,Current,,
32548,L44961,A,36,2016-11-04,7.16,9.34,188.82,6000.0,4770.11,0,Current,,
42798,L45000,D,36,2016-10-31,14.71,19.13,180.0,3000.0,2441.7,0,Current,,
170,L281,A,36,2014-06-09,8.18,10.26,150.0,5000.0,0.0,0,Matured,,
55728,L59220,AA,36,2017-03-29,4.96,6.85,506.8,18100.0,16699.03,0,Current,,
18430,L16917,AA,36,2015-10-28,4.85,6.89,201.0,6700.0,2695.36,0,Current,,
34514,L34479,B,36,2016-06-22,11.41,15.45,840.0,15000.0,10158.6,0,Current,,
20631,L19286,C,36,2015-12-03,12.55,16.93,180.0,3000.0,1556.11,0,Current,,
22544,L23521,C,36,2016-01-19,12.27,15.73,264.0,5500.0,3299.31,43,Delinquent,,
64546,L73541,B,36,2017-06-16,8.9,12.88,224.0,4000.0,3709.56,0,Current,,
72322,L80938,E,60,2017-07-14,19.0,22.45,484.33,7000.0,7000.0,0,Current,,
71827,L79571,E,60,2017-07-10,17.28,20.45,1725.54,26600.0,26600.0,0,Current,,
52728,L56055,A,36,2017-02-28,6.2,10.1,851.2,15200.0,13216.6,0,Current,,
13677,L11590,C,36,2015-08-18,11.49,15.83,2100.0,35000.0,0.0,440,Charged Off,29584.19,2016-09-16
69746,L79423,C,60,2017-07-10,14.46,17.81,422.28,6000.0,6000.0,0,Current,,
39618,L48502,C,36,2016-12-08,13.16,15.57,505.8,15000.0,12520.32,0,Current,,
39798,L40461,D,36,2016-09-13,18.29,22.81,156.0,2600.0,0.0,0,Matured,,
62338,L67540,B,60,2017-05-18,13.41,16.01,336.0,6000.0,5255.94,0,Current,,
74846,L83888,C,36,2017-07-24,11.65,15.72,308.77,5500.0,5500.0,0,Current,,
67989,L77406,A,60,2017-06-30,9.83,12.34,56.0,1000.0,929.04,0,Current,,
37563,L39054,A,36,2016-08-23,6.46,10.38,560.0,10000.0,7145.51,0,Current,,
72549,L82144,B,60,2017-07-18,12.07,15.31,453.31,6500.0,6500.0,0,Current,,
45314,L46991,E,36,2016-11-21,23.07,27.8,1500.0,25000.0,11853.87,0,Current,,
73793,L83488,D,36,2017-07-24,15.22,19.45,285.25,5000.0,5000.0,0,Current,,
18199,L16834,B,36,2015-10-28,8.39,11.92,650.0,13000.0,3545.34,0,Current,,
15063,L13046,D,36,2015-09-11,17.18,21.68,504.0,8400.0,3781.1,0,Current,,
39040,L39539,A,36,2016-08-29,8.4,12.36,560.0,10000.0,7473.39,0,Current,,
26971,L25993,B,36,2016-02-17,10.24,13.07,280.0,7000.0,3956.13,0,Current,,
15972,L13693,D,36,2015-09-18,25.27,29.99,1116.0,18600.0,8867.43,0,Current,,
37800,L42835,B,36,2016-10-11,9.52,13.51,364.0,6500.0,5052.04,0,Current,,
11126,L9453,B,36,2015-07-08,9.5,13.05,165.0,3300.0,0.0,0,Matured,,
69441,L76271,E,60,2017-06-26,26.56,29.77,240.0,4000.0,3966.2,0,Current,,
63239,L68711,B,60,2017-05-24,12.55,15.49,759.6,12000.0,11676.69,0,Current,,
60405,L67154,D,36,2017-05-17,13.81,18.2,297.75,5000.0,4773.15,0,Current,,
36154,L36567,B,36,2016-07-22,9.14,13.12,672.0,12000.0,3877.77,0,Current,,
21487,L20643,C,36,2015-12-07,12.21,16.58,300.0,5000.0,2587.17,0,Current,,
62622,L67811,E,60,2017-05-19,26.33,29.66,620.5,10000.0,9835.22,0,Current,,
35693,L35935,C,36,2016-07-14,12.47,16.84,600.0,10000.0,0.0,0,Matured,,
46062,L48217,B,60,2016-12-12,14.09,16.7,280.0,5000.0,4578.57,0,Current,,
41408,L42478,B,36,2016-10-04,11.72,15.76,392.0,7000.0,5317.59,0,Current,,
48089,L50480,D,36,2016-12-29,21.04,25.61,150.0,2500.0,2186.45,0,Current,,
33848,L33636,B,36,2016-06-09,11.5,15.54,291.2,5200.0,3030.78,0,Current,,
60873,L66740,E,60,2017-05-15,26.46,29.83,569.11,9100.0,8950.63,0,Current,,
51428,L64790,E,60,2017-05-04,26.57,29.78,432.0,7200.0,0.0,0,Matured,,
65908,L72201,C,60,2017-06-12,14.46,17.7,819.6,12000.0,11860.49,0,Current,,
74633,L83422,A,60,2017-07-21,9.39,12.42,670.5,10000.0,10000.0,0,Current,,
40171,L40874,A,36,2016-09-19,6.91,10.84,364.0,6500.0,4820.64,0,Current,,
51144,L60929,C,60,2017-04-12,14.81,17.65,252.0,4200.0,4054.8,0,Current,,
20703,L19794,A,36,2015-11-30,5.5,8.97,700.0,14000.0,0.0,0,Matured,,
56112,L63073,D,60,2017-04-28,16.49,19.38,420.0,7000.0,6765.4,0,Current,,
44862,L47539,A,36,2016-11-29,8.47,12.42,644.0,11500.0,9488.94,0,Current,,
47816,L59763,C,60,2017-04-03,14.73,17.57,420.0,7000.0,6757.5,0,Current,,
62295,L67261,B,60,2017-05-16,13.19,15.8,666.4,11900.0,11616.8,0,Current,,
36809,L38169,D,36,2016-08-10,14.94,19.37,840.0,14000.0,0.0,234,Charged Off,14548.01,2017-02-08
59890,L65107,B,60,2017-05-08,12.36,15.19,1124.61,18400.0,17952.54,0,Current,,
29424,L68379,B,60,2017-05-22,12.15,15.02,930.75,15000.0,14153.12,0,Current,,
23164,L30964,C,60,2016-04-18,17.99,19.91,400.0,10000.0,8261.36,0,Current,,
70541,L78093,E,60,2017-07-05,26.55,29.77,210.0,3500.0,3500.0,0,Current,,
59900,L70989,D,60,2017-06-05,17.08,19.99,1500.0,25000.0,24728.47,0,Current,,
15915,L13616,A,36,2015-09-18,8.39,11.92,750.0,15000.0,6281.31,0,Current,,
19667,L18132,B,36,2015-11-12,8.14,11.66,430.0,8600.0,3966.09,0,Current,,
53107,L56236,B,60,2017-02-28,13.32,15.9,280.0,5000.0,4692.57,0,Current,,
65756,L72659,B,60,2017-06-13,13.15,15.75,560.0,10000.0,9879.75,0,Current,,
11257,L9526,B,36,2015-07-09,10.78,14.35,1000.0,20000.0,8020.5,20,Delinquent,,
11015,L9328,B,36,2015-07-06,11.05,14.63,1750.0,35000.0,12885.0,0,Current,,
57116,L60853,E,60,2017-04-11,21.71,24.76,180.0,3000.0,2913.75,0,Current,,
47079,L49257,C,36,2016-12-15,12.39,16.76,570.0,9500.0,717.76,0,Current,,
75146,L84458,B,36,2017-07-25,10.23,16.08,112.0,1400.0,1400.0,0,Current,,
65380,L71686,B,60,2017-06-08,11.59,14.15,560.0,10000.0,9849.33,0,Current,,
56231,L62332,D,60,2017-04-19,16.48,19.37,480.0,8000.0,7709.62,0,Current,,
11184,L9715,D,36,2015-07-14,25.23,29.96,288.0,4800.0,2025.82,0,Current,,
29343,L30941,C,36,2016-04-18,13.4,14.28,100.0,8000.0,0.0,226,Charged Off,6932.93,2017-02-27
71283,L79091,C,60,2017-07-10,14.9,18.1,1005.75,15000.0,15000.0,0,Current,,
34819,L34638,A,60,2016-06-27,10.65,13.19,1120.0,20000.0,0.0,0,Matured,,
8108,L6577,A,36,2015-04-29,8.36,11.88,600.0,12000.0,3646.72,0,Current,,
35840,L35867,A,36,2016-07-13,7.86,11.81,280.0,5000.0,3436.65,0,Current,,
20508,L19826,D,36,2015-12-01,15.7,20.16,330.0,5500.0,0.0,122,Charged Off,4467.76,2017-07-31
13999,L29755,A,36,2016-03-31,8.14,9.7,206.82,9200.0,5349.01,0,Current,,
71215,L83105,C,36,2017-07-20,11.25,15.25,332.28,6000.0,6000.0,0,Current,,
67332,L73483,C,60,2017-06-15,14.95,17.79,366.0,6100.0,6029.97,0,Current,,
10181,L8486,D,36,2015-06-17,15.5,19.95,600.0,10000.0,3553.26,0,Current,,
21691,L20303,A,36,2015-12-03,7.7,11.21,500.0,10000.0,0.0,0,Charged Off,7140.89,2017-05-04
31332,L31448,A,36,2016-05-05,8.3,11.1,600.0,15000.0,9588.19,0,Current,,
8553,L7659,AA,36,2015-06-03,5.88,7.62,228.0,8000.0,2348.87,0,Current,,
26271,L53844,C,36,2017-02-06,14.45,18.93,1260.0,21000.0,18542.5,0,Current,,
74417,L83017,B,36,2017-07-20,10.98,15.29,238.2,4000.0,4000.0,0,Current,,
42677,L44015,C,36,2016-10-20,11.79,16.13,390.0,6500.0,5069.76,0,Current,,
28564,L27335,B,36,2016-03-02,9.98,12.81,388.0,9700.0,5742.81,0,Current,,
46474,L53475,C,36,2017-01-31,12.33,16.7,480.0,8000.0,6569.08,0,Current,,
24948,L46345,B,36,2016-11-14,12.18,15.4,89.6,2000.0,1615.23,0,Current,,
15531,L13466,C,36,2015-09-16,13.12,17.51,780.0,13000.0,5651.62,0,Current,,
12877,L10790,D,36,2015-08-04,21.85,26.48,1464.0,24400.0,0.0,0,Matured,,
40401,L45487,E,36,2016-11-04,25.07,29.79,84.0,1400.0,0.0,0,Matured,,
21677,L22500,C,36,2016-01-04,12.8,16.27,360.0,7500.0,0.0,150,Charged Off,5394.95,2017-07-03
